source,description,description_clean,unit_clean,quantity,rate,material,grade,thickness_mm,thickness_assumed,emission_factor,ef_unit,ef_source,ef_label,cci,cci_label,cci_outlier,extr_method,prop_grade
Bot,Floor -4,floor 4,m2,5018.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -5,floor 5,m2,5018.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -6,floor 6,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -7,floor 7,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -8,floor 8,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -9,floor 9,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -10,floor 10,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -11,floor 11,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -12,floor 12,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -13,floor 13,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -14,floor 14,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -15,floor 15,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -16,floor 16,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -17,floor 17,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -18,floor 18,m2,5850.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -19,floor 19,m2,1034.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -20,floor 20,m2,1034.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -21,floor 21,m2,1034.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Floor -22,floor 22,m2,1034.0,,flooring,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,STP - External walls,stp external walls,m2,1761.0,,waterproofing,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,UG Sump - External walls,ug sump external walls,m2,596.0,,waterproofing,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Retaining wall - External walls,retaining wall external walls,m2,3322.0,,waterproofing,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Rain Water Sump - External,rain water sump external,m2,490.0,,waterproofing,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,Lift base slab internal & Walls of Internal+ External,lift base slab internal walls of internal external,m2,1452.0,,waterproofing,,,False,,,,no_ice_ef,,no_ef_no_cci,False,section_context,
Bot,"5. Internal Side Waterproofing: Providing and applying two coats of acrylic based  polymer  modified  cementitious  waterproof  coating  over prepared surface with necessary primer coat as per the manufacturer recommendations. Removing all surface laitance and contamination free from loose aggregate or other sharp protrusions with fairly smooth finish by wire brush and grinding method and surface shall be damped with Water for application of  waterproof coating.
6.Waterproofing coating shall contain a liquid polymer component and a cementitious powder component which  shall  be  mixed  as  per  manufacturer's instructions and  applied over prepared concrete surface strictly maintaining the coverage & thickness of minimum 1.2 mm or as specified  by  the  manufacturer whichever is more . The  applied  material  of  Waterproofing  coating  should  have a Pull off adhesion of greater than 1N/mm2 as per ASTM-04541 and static crack accommodation  of  1mm according to ASTM-C836. Complete as per the Contractors methodology approved by consultants / clients.
Cost to include necessary grouting of porous areas, Haunching at the junction of floor and walls, termination at the ends etc, supply and spraying 2.36mm sieved sand on the coating while it is wet to aid bonding complete.
Ponding tests for a period of 48 hours should be conducted post protective layer to ensure water tightness.
Treatment  shall  be  provided  from  standard  manufacturers  like  BASF,  SIKA, FOSROC or equivalent.",5 internal side waterproofing providing and applying two coats of acrylic based polymer modified cementitious waterproof coating over prepared surface with necessary primer coat as per the manufacturer recommendations removing all surface laitance and contamination free from loose aggregate or other sharp protrusions with fairly smooth finish by wire brush and grinding method and surface shall be damped with water for application of waterproof coating 6 waterproofing coating shall contain a liquid polymer component and a cementitious powder component which shall be mixed as per manufacturer s instructions and applied over prepared concrete surface strictly maintaining the coverage thickness of minimum 1 or as specified by the manufacturer whichever is more the applied material of waterproofing coating should have a pull off adhesion of greater than 1n mm2 as per astm 04541 and static crack accommodation of according to astm c836 complete as per the contractors methodology approved by consultants clients cost to include necessary grouting of porous areas haunching at the junction of floor and walls termination at the ends etc supply and spraying 2 sieved sand on the coating while it is wet to aid bonding complete ponding tests for a period of 48 hours should be conducted post protective layer to ensure water tightness treatment shall be provided from standard manufacturers like basf sika fosroc or equivalent,unknown,6336.0,,waterproofing,,,False,,,,no_ice_ef,,no_ef_no_cci,False,keyword,
Bot,"Protective layer(Horizontal): Providing & Laying M15 grade screed concrete to required slope admix with integral waterproofing compound Conplast WL  of FOSROC make or Equivalent at the dosage of 125ml/bag of cement over waterproofing layer to a minimum thickness of 50mm or as per site requirement, complete. Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",protective layer horizontal providing laying m15 grade screed concrete to required slope admix with integral waterproofing compound conplast wl of fosroc make or equivalent at the dosage of 125ml bag of cement over waterproofing layer to a minimum thickness of or as per site requirement complete treatment shall be provided from standard manufacturers like basf sika fosroc or equivalent,m2,2100.0,,concrete,M15,50.0,True,13.405,kgCO2e/m2,ICE V4.1 Concrete CEM I M15 × 50mm,has_ef,,predict_cci,False,keyword,M15
Bot,"Protective Layer (Vertical): Rendering plastering to internal wall surfaces by 12mm thk in CM 1:4 with waterproofing admixtures as per manufacturer's specifications and clients approval, curing etc. complete.Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",protective layer vertical rendering plastering to internal wall surfaces by thk in cm 1 4 with waterproofing admixtures as per manufacturer s specifications and clients approval curing etc complete treatment shall be provided from standard manufacturers like basf sika fosroc or equivalent,m2,5036.0,,waterproofing,,,False,,,,no_ice_ef,,no_ef_no_cci,False,keyword,M15
Bot,"WATER TANKS OF STP:
Providing and applying Coal tar epoxy coating 2 coats in X&Y direction as per the manufacturer recommendations over the plastered surface in STP raw water tanks to avoid the chemical reaction with water proof coating surface.Coal tar epoxy coating shall be applied to achieve a DFT of 300microns over two coats or as mentioned in the TDS of the material used whichever is higher. Treatment shall be provided from standard manufacturers like BASF, SIKA, FOSROC or equivalent.",water tanks of stp providing and applying coal tar epoxy coating 2 coats in x y direction as per the manufacturer recommendations over the plastered surface in stp raw water tanks to avoid the chemical reaction with water proof coating surface coal tar epoxy coating shall be applied to achieve a dft of 300microns over two coats or as mentioned in the tds of the material used whichever is higher treatment shall be provided from standard manufacturers like basf sika fosroc or equivalent,m2,1706.0,,concrete,M15,75.0,True,20.1075,kgCO2e/m2,ICE V4.1 Concrete CEM I M15 × 75mm,has_ef,,predict_cci,False,section_context,M15
Bot,UG Sump - Internal,ug sump internal,m2,1905.0,,plaster,,,False,0.238,kgCO2e/kg,"ICE V4.1 — Plaster, Plasterboard",has_ef,,predict_cci,False,section_context,
Bot,STP - Internal,stp internal,m2,1706.0,,plaster,,,False,0.238,kgCO2e/kg,"ICE V4.1 — Plaster, Plasterboard",has_ef,,predict_cci,False,section_context,
Bot,OHT - Internal,oht internal,m2,1305.0,,plaster,,,False,0.238,kgCO2e/kg,"ICE V4.1 — Plaster, Plasterboard",has_ef,,predict_cci,False,section_context,
